id,region,res1,res2,res3,res4,res5,res6
122,atlanta,156,228,16,288,565,534
123,atlanta,516,58,137,392,509,174
124,atlanta,502,245,186,612,302,643
125,atlanta,661,121,501,379,302,565
126,atlanta,148,302,38,460,457,450
127,atlanta,133,590,491,315,573,578
128,atlanta,620,69,652,361,146,198
129,atlanta,174,265,302,167,361,432
130,atlanta,106,632,622,380,599,334
131,atlanta,612,621,52,196,571,148
132,atlanta,4,516,613,476,434,342
133,atlanta,302,174,422,621,617,450
134,atlanta,302,121,667,174,614,137
135,atlanta,106,671,391,438,314,323
136,atlanta,288,643,149,565,491,496
137,atlanta,652,288,354,336,565,170
138,atlanta,642,334,354,507,221,380
139,atlanta,114,304,319,44,541,79
140,atlanta,671,149,569,565,652,170
141,atlanta,117,334,624,288,222,652
142,atlanta,667,163,121,281,665,601
143,atlanta,106,166,380,427,114,304
144,atlanta,652,671,288,334,133,478
145,atlanta,620,361,501,206,225,116
146,atlanta,671,334,106,221,652,438
147,atlanta,636,223,620,576,353,116
148,atlanta,418,564,636,223,640,105
149,atlanta,541,398,216,483,106,380
150,atlanta,671,133,219,60,54,75
151,atlanta,565,305,70,654,408,239
152,atlanta,589,313,17,216,249,642
153,atlanta,133,60,197,671,612,164
154,atlanta,541,114,519,319,235,67
155,atlanta,392,509,488,516,614,332
156,atlanta,288,480,508,496,205,333
157,atlanta,13,16,543,24,146,133
158,atlanta,61,642,565,546,17,146
159,atlanta,17,565,642,53,134,221
160,atlanta,565,146,17,16,589,543
161,atlanta,60,227,371,552,34,441
162,atlanta,219,133,227,323,60,221
163,atlanta,644,501,669,2,206,1
164,atlanta,652,565,315,288,17,397
165,atlanta,288,652,534,149,555,410
166,atlanta,418,659,627,640,116,576
167,atlanta,671,334,573,106,117,380
168,atlanta,133,671,54,334,573,109
169,atlanta,501,669,644,659,26,418
170,atlanta,659,199,244,223,661,620
171,atlanta,293,13,133,16,148,198
172,atlanta,501,198,146,2,206,635
173,atlanta,576,418,620,659,603,225
174,atlanta,671,407,5,482,478,354
175,atlanta,75,671,133,452,573,438
176,atlanta,516,612,241,392,457,453
177,atlanta,395,642,431,233,474,518
178,atlanta,418,640,27,659,105,426
179,atlanta,114,427,304,380,319,583
180,atlanta,276,22,288,91,15,139
181,atlanta,397,134,334,17,288,652
182,atlanta,221,227,512,334,17,565
183,atlanta,174,206,332,146,408,501
184,atlanta,659,418,116,307,640,187
185,atlanta,121,516,308,667,302,233
186,atlanta,546,616,565,196,229,186
187,atlanta,427,106,541,380,67,652
188,atlanta,133,219,75,252,60,573
189,atlanta,671,452,652,378,166,438
190,atlanta,671,438,54,452,323,133
191,atlanta,227,133,54,671,197,60
192,atlanta,99,407,19,205,183,423
193,atlanta,107,148,332,163,653,441
194,atlanta,620,10,282,197,164,426
195,atlanta,148,293,262,422,460,302
196,atlanta,408,213,239,397,565,458
197,atlanta,671,106,438,117,573,541
198,atlanta,516,70,121,148,450,233
199,atlanta,219,85,411,512,361,7
200,atlanta,659,418,501,576,620,357
201,atlanta,334,54,221,323,106,397
202,atlanta,17,642,361,133,665,120
203,atlanta,17,642,643,255,654,546
204,atlanta,164,661,52,563,612,621
205,atlanta,443,662,10,509,469,89
206,atlanta,221,541,498,493,489,334
207,atlanta,137,60,565,552,518,441
208,atlanta,407,205,22,397,616,292
209,atlanta,671,219,378,573,75,632
210,atlanta,380,407,652,106,288,114
211,atlanta,509,392,488,453,137,614
212,atlanta,62,408,206,302,174,379
213,atlanta,379,121,302,661,148,87
214,atlanta,661,509,524,516,437,86
215,atlanta,546,146,408,453,137,488
216,atlanta,418,620,370,576,644,225
217,atlanta,644,636,246,282,627,564
218,atlanta,133,44,293,146,507,106
219,atlanta,565,149,170,534,71,500
220,atlanta,661,595,348,244,437,563
221,atlanta,565,38,349,265,222,603
222,atlanta,244,661,225,659,563,76
223,atlanta,379,163,121,62,450,653
224,atlanta,313,443,10,192,645,348
225,atlanta,163,667,653,162,161,349
226,atlanta,133,661,563,294,293,187
227,atlanta,288,652,336,315,397,565
228,atlanta,133,44,671,75,438,652
229,atlanta,565,661,225,138,58,116
230,atlanta,659,576,418,405,116,225
231,atlanta,398,482,341,350,354,380
232,atlanta,133,450,667,148,612,332
233,atlanta,186,595,241,603,222,418
234,atlanta,187,576,90,603,653,524
235,atlanta,166,541,546,216,106,227
236,atlanta,565,501,379,163,62,669
237,atlanta,79,671,304,334,365,227
238,atlanta,438,288,496,661,565,643
239,atlanta,652,565,334,315,288,397
240,atlanta,133,137,565,312,502,86
241,atlanta,620,223,116,659,576,418
242,atlanta,288,652,565,44,198,555
243,atlanta,565,53,255,32,233,9
244,atlanta,516,121,233,450,227,488
245,atlanta,137,546,584,509,453,432
246,atlanta,421,323,109,512,227,49
247,atlanta,106,380,398,482,517,192
248,atlanta,508,671,54,304,427,438
249,atlanta,198,501,392,233,21,308
250,atlanta,496,517,420,624,205,99
251,atlanta,642,652,478,17,133,507
252,atlanta,546,452,219,227,642,590
253,atlanta,546,62,163,620,501,653
254,atlanta,565,174,121,509,488,653
255,atlanta,334,673,652,315,642,265
256,atlanta,643,407,17,642,546,53
257,atlanta,661,603,563,671,299,466
258,atlanta,595,364,241,524,162,392
259,atlanta,380,106,114,129,508,427
260,atlanta,546,133,438,323,671,219
261,atlanta,288,565,233,222,642,397
262,atlanta,288,133,584,163,146,546
263,atlanta,644,148,516,163,227,233
264,atlanta,323,620,418,439,206,408
265,atlanta,502,294,563,188,437,10
266,atlanta,627,640,564,242,246,418
0,boston,322,308,542,64,552,61
1,boston,62,379,644,661,646,226
2,boston,409,454,536,639,373,360
3,boston,138,69,466,169,244,644
4,boston,361,2,332,371,197,198
5,boston,369,227,565,219,427,288
6,boston,438,671,452,54,489,75
7,boston,20,606,238,297,184,248
8,boston,10,469,626,164,524,636
9,boston,565,588,642,205,652,17
10,boston,438,508,288,430,365,427
11,boston,358,508,304,445,318,157
12,boston,133,546,496,369,61,652
13,boston,643,645,288,420,496,444
14,boston,349,332,21,653,669,667
15,boston,427,221,334,118,17,391
16,boston,424,228,471,565,64,362
17,boston,409,373,585,93,184,536
18,boston,148,332,408,206,38,608
19,boston,80,284,55,101,570,338
20,boston,129,430,166,427,358,114
21,boston,640,105,418,564,370,620
22,boston,219,135,194,632,512,674
23,boston,606,238,20,637,271,297
24,boston,164,469,348,142,563,175
25,boston,288,427,661,430,671,365
26,boston,105,640,564,370,426,418
27,boston,619,587,240,91,231,149
28,boston,322,645,516,568,542,137
29,boston,298,163,392,206,408,126
30,boston,148,38,507,450,349,343
31,boston,643,642,134,652,288,565
32,boston,565,215,122,42,41,384
33,boston,667,206,38,545,91,148
34,boston,481,45,65,607,118,221
35,boston,113,75,497,388,133,304
36,boston,86,241,379,226,206,255
37,boston,78,204,336,68,473,139
38,boston,0,106,59,520,510,435
39,boston,573,452,508,671,288,157
40,boston,661,595,437,162,144,241
41,boston,424,228,471,565,64,362
42,boston,198,659,225,460,21,501
43,boston,206,644,371,635,197,60
44,boston,427,311,129,607,255,521
45,boston,103,163,83,13,525,379
46,boston,174,302,87,413,161,450
47,boston,60,565,219,109,421,512
48,boston,576,620,640,90,418,105
49,boston,0,559,261,269,106,359
50,boston,565,17,642,652,134,222
51,boston,565,379,62,315,669,661
52,boston,675,490,124,526,515,136
53,boston,379,574,62,121,43,160
54,boston,675,490,124,526,515,136
55,boston,316,157,329,219,133,444
56,boston,396,425,109,674,641,85
57,boston,52,174,293,294,612,661
58,boston,227,60,133,219,546,221
59,boston,288,652,671,517,44,420
60,boston,169,90,446,27,644,277
61,boston,352,647,675,492,526,124
62,boston,308,408,608,134,163,392
63,boston,565,254,288,149,266,439
64,boston,233,101,642,222,210,55
65,boston,671,166,333,369,216,106
66,boston,576,620,659,223,636,282
67,boston,293,343,333,369,491,133
68,boston,60,671,227,197,632,278
69,boston,608,308,91,206,408,667
70,boston,642,134,64,133,221,334
71,boston,109,512,113,60,221,421
72,boston,379,62,635,126,163,121
73,boston,369,106,671,68,562,380
74,boston,644,603,230,611,636,90
75,boston,216,483,106,589,380,642
76,boston,133,106,598,369,131,359
77,boston,644,227,546,17,603,134
78,boston,565,652,501,103,329,646
79,boston,625,492,372,81,367,366
80,boston,44,78,652,496,133,541
81,boston,90,563,127,428,142,226
82,boston,334,221,106,369,562,68
83,boston,407,19,496,671,534,150
84,boston,302,148,457,450,635,213
85,boston,652,288,671,369,334,134
86,boston,418,620,501,669,640,105
87,boston,60,565,427,369,227,109
88,boston,675,490,124,526,515,136
89,boston,430,318,671,179,365,106
90,boston,15,633,594,478,482,350
91,boston,596,212,183,287,588,403
92,boston,597,241,162,595,364,615
93,boston,221,498,369,106,227,334
94,boston,496,44,517,521,444,78
95,boston,9,593,140,55,338,580
96,boston,79,369,380,106,398,114
97,boston,186,364,595,524,241,255
98,boston,133,318,179,227,497,75
99,boston,644,586,163,603,595,669
100,boston,369,438,156,427,527,616
101,boston,54,323,512,133,421,227
102,boston,420,427,529,523,521,579
103,boston,505,298,175,163,162,46
104,boston,675,490,124,526,515,136
105,boston,17,642,64,61,589,134
106,boston,519,583,480,424,254,30
107,boston,675,490,124,526,515,136
108,boston,206,408,635,174,457,198
109,boston,508,438,430,365,304,288
110,boston,496,517,407,315,397,205
111,boston,70,553,653,413,87,38
112,boston,4,33,613,342,516,322
113,boston,595,379,62,148,601,649
114,boston,222,308,91,608,487,233
115,boston,360,373,409,454,93,639
116,boston,17,408,608,397,565,91
117,boston,334,221,493,9,275,642
118,boston,294,290,337,164,538,142
119,boston,54,113,157,227,197,109
120,boston,675,490,124,526,515,136
121,boston,293,661,294,428,353,127
122,boston,502,612,186,174,245,294
123,boston,106,369,166,380,427,0
124,boston,78,652,496,204,505,110
125,boston,288,547,474,605,491,487
126,boston,146,87,302,239,635,70
127,boston,219,109,323,546,421,227
128,boston,227,671,219,28,378,75
129,boston,293,453,552,342,43,137
130,boston,351,221,369,652,334,642
131,boston,146,571,30,450,433,346
132,boston,383,659,225,576,218,563
133,boston,380,5,398,541,498,318
134,boston,106,435,398,380,280,129
135,boston,199,116,627,620,659,187
136,boston,17,134,642,654,565,9
137,boston,612,578,299,643,661,457
138,boston,188,244,120,463,466,661
139,boston,20,606,238,297,184,248
140,boston,288,652,643,496,78,369
141,boston,78,318,489,505,376,508
142,boston,293,534,343,288,635,527
143,boston,199,370,368,307,620,294
144,boston,430,365,369,166,508,427
145,boston,460,1,198,38,565,148
146,boston,308,60,49,512,421,109
147,boston,15,633,594,478,482,350
148,boston,227,60,219,133,75,49
149,boston,334,133,380,369,221,252
150,boston,541,318,227,380,216,369
151,boston,316,7,546,53,98,382
152,boston,369,221,427,216,380,227
153,boston,60,278,227,208,641,638
154,boston,8,462,304,508,318,648
155,boston,642,565,654,53,546,134
156,boston,501,370,669,620,379,62
157,boston,38,174,553,70,148,213
158,boston,304,79,590,365,75,200
159,boston,565,518,533,338,336,547
160,boston,675,490,124,526,515,136
161,boston,133,148,38,56,60,29
162,boston,199,620,503,225,90,659
163,boston,656,449,324,93,154,526
164,boston,283,503,223,603,659,563
165,boston,516,255,645,588,4,476
166,boston,91,233,308,487,474,650
167,boston,218,544,636,503,576,429
168,boston,562,68,369,493,573,117
169,boston,225,283,383,592,659,199
170,boston,394,439,167,174,265,87
171,boston,428,418,199,348,576,116
172,boston,334,493,102,95,369,562
173,boston,565,17,70,397,1,555
174,boston,652,288,122,333,369,565
175,boston,428,10,90,199,164,405
176,boston,675,490,124,526,515,136
177,boston,428,563,348,620,659,226
178,boston,270,675,536,526,124,515
179,boston,0,511,333,633,359,381
180,boston,227,133,369,453,343,284
181,boston,207,445,304,252,398,129
182,boston,333,131,380,652,288,369
183,boston,639,360,374,409,340,532
184,boston,640,426,105,447,620,187
185,boston,502,643,76,265,245,545
186,boston,191,371,369,332,148,433
187,boston,661,223,113,109,503,219
188,boston,675,490,124,526,515,136
189,boston,103,163,83,13,525,379
190,boston,219,227,49,221,512,642
191,boston,255,597,31,61,546,64
192,boston,588,140,522,276,591,432
193,boston,90,428,199,348,164,226
194,boston,620,116,576,418,187,428
195,boston,675,490,124,526,515,136
196,boston,438,288,319,430,652,106
197,boston,163,653,62,379,206,126
198,boston,659,418,90,576,370,495
199,boston,430,365,520,261,207,559
200,boston,131,333,336,133,652,288
201,boston,496,420,588,32,288,645
202,boston,199,90,620,120,116,370
203,boston,70,38,413,667,653,553
204,boston,60,227,516,612,56,197
205,boston,142,563,437,164,356,469
206,boston,643,439,76,408,245,241
207,boston,148,38,460,545,534,543
208,boston,68,380,334,117,493,106
209,boston,640,105,564,27,242,426
210,boston,565,496,432,233,288,134
211,boston,227,60,323,421,49,109
212,boston,255,565,312,137,546,524
213,boston,396,219,331,512,132,49
214,boston,578,581,514,91,555,277
215,boston,294,337,612,290,330,196
216,boston,546,531,219,109,323,291
217,boston,588,308,220,37,205,32
218,boston,569,343,19,315,407,133
219,boston,496,588,420,32,80,183
220,boston,427,565,143,42,308,386
221,boston,259,475,56,325,571,608
222,boston,129,5,435,493,519,521
223,boston,675,490,124,526,515,136
224,boston,233,17,315,642,516,134
225,boston,133,227,546,60,54,421
226,boston,121,148,379,516,206,281
227,boston,288,471,565,456,149,593
228,boston,9,221,210,222,17,509
229,boston,497,396,219,489,376,378
230,boston,505,378,166,102,286,288
231,boston,161,665,62,163,601,130
232,boston,135,508,512,531,331,438
233,boston,474,173,431,518,80,112
234,boston,163,653,379,62,665,206
235,boston,521,0,435,106,579,129
236,boston,366,372,111,367,585,303
237,boston,635,148,422,302,38,460
238,boston,369,288,491,493,68,275
239,boston,438,133,179,113,318,343
240,boston,603,343,612,164,148,586
241,boston,219,512,49,227,109,421
242,boston,107,525,128,461,667,38
243,boston,219,438,671,49,512,421
244,boston,565,134,642,17,334,222
245,boston,61,308,146,58,392,642
246,boston,601,665,509,281,121,349
247,boston,255,588,61,146,645,192
248,boston,199,620,659,640,187,669
249,boston,15,633,594,478,482,350
250,boston,17,673,654,642,565,134
251,boston,293,298,262,667,41,191
252,boston,206,146,38,259,56,70
253,boston,20,606,238,297,184,248
254,boston,645,300,141,524,344,609
255,boston,380,508,430,106,369,521
256,boston,333,380,398,541,562,480
257,boston,219,671,632,194,85,438
258,boston,430,365,207,664,452,166
259,boston,675,272,558,561,243,94
260,boston,149,643,420,467,476,652
261,boston,502,595,148,428,612,626
262,boston,620,282,250,659,636,23
263,boston,275,599,442,334,493,247
264,boston,383,225,90,199,659,576
265,boston,219,60,512,49,421,109
266,boston,439,148,128,231,265,167
267,boston,206,298,422,667,41,293
268,boston,541,166,497,131,318,106
269,boston,370,640,447,307,105,242
270,boston,56,343,302,197,379,259
271,boston,302,174,121,644,62,163
272,boston,619,587,240,91,231,149
273,boston,480,648,583,666,359,0
274,boston,276,205,122,78,77,565
275,boston,15,633,594,478,482,350
276,boston,409,373,360,572,158,184
277,boston,369,505,293,106,427,645
278,boston,207,318,358,445,430,106
279,boston,501,379,62,323,620,438
280,boston,174,617,514,320,152,87
281,boston,275,521,0,652,204,97
282,boston,149,288,112,171,491,550
283,boston,508,438,133,430,179,512
284,boston,369,149,288,652,439,336
285,boston,501,669,307,21,586,206
286,boston,80,284,78,210,547,652
287,boston,369,288,652,521,438,275
288,boston,409,360,454,373,352,647
289,boston,546,667,584,70,608,635
290,boston,191,621,148,402,534,565
291,boston,61,494,589,588,146,58
292,boston,408,643,438,70,146,546
293,boston,93,449,324,656,675,74
294,boston,427,579,176,567,380,106
295,boston,565,17,134,233,432,642
296,boston,199,90,576,225,659,405
297,boston,565,427,386,642,134,42
298,boston,527,534,52,262,652,635
299,boston,525,608,667,163,298,408
300,boston,101,55,338,570,565,288
301,boston,366,372,111,367,585,303
302,boston,154,124,675,352,389,374
303,boston,133,529,129,398,311,380
304,boston,578,302,361,379,294,299
305,boston,70,163,148,121,349,38
306,boston,625,492,372,81,367,366
307,boston,595,241,364,406,103,62
308,boston,675,490,124,526,515,136
309,boston,219,334,497,49,117,376
310,boston,369,334,671,652,117,336
311,boston,675,490,124,526,515,136
312,boston,275,599,442,334,493,247
313,boston,385,511,381,530,594,333
314,boston,275,173,668,633,276,387
315,boston,228,381,474,359,565,149
316,boston,219,512,133,109,221,227
317,boston,401,61,392,273,613,140
318,boston,134,64,642,61,546,133
319,boston,361,146,70,206,332,61
320,boston,241,227,364,133,60,379
321,boston,480,427,70,215,534,131
322,boston,288,516,494,613,630,64
323,boston,148,38,507,608,186,14
324,boston,294,661,348,428,227,226
325,boston,20,606,238,297,184,248
326,boston,376,489,365,110,378,652
327,boston,319,0,114,59,520,510
328,boston,565,133,546,132,31,61
329,boston,337,661,612,245,87,597
330,boston,116,603,659,620,199,447
331,boston,627,370,105,640,187,636
332,boston,378,85,560,376,49,54
333,boston,369,616,496,521,505,430
334,boston,353,198,361,368,466,620
335,boston,427,509,61,64,33,369
336,boston,438,219,109,396,75,512
337,boston,134,565,17,642,652,42
338,boston,675,490,124,526,515,136
339,boston,28,378,234,219,671,252
340,boston,179,318,79,541,207,489
341,boston,318,106,380,179,445,378
342,boston,75,573,590,28,489,497
343,boston,675,490,124,526,515,136
344,boston,538,534,502,616,337,612
345,boston,262,460,293,146,148,667
346,boston,366,372,111,367,585,303
347,boston,603,105,370,627,620,199
348,boston,16,635,198,133,293,284
349,boston,146,4,343,245,133,660
350,boston,169,446,90,495,659,138
351,boston,180,360,374,93,367,625
352,boston,106,427,0,567,510,261
353,boston,343,652,78,293,288,407
354,boston,206,545,167,265,565,70
355,boston,395,547,210,456,580,386
356,boston,591,565,80,631,34,518
357,boston,49,17,331,421,512,323
358,boston,565,652,646,315,329,78
359,boston,644,576,223,90,659,405
360,boston,219,291,378,92,252,49
361,boston,78,284,565,336,288,652
362,boston,234,452,113,438,110,425
363,boston,583,616,480,19,496,44
364,boston,90,659,576,383,405,223
365,boston,163,70,308,281,305,38
366,boston,143,386,134,42,642,17
367,boston,161,163,121,162,644,349
368,boston,90,644,636,10,603,164
369,boston,164,105,426,307,627,370
370,boston,608,222,167,565,91,265
371,boston,512,219,49,109,60,133
372,boston,398,166,369,333,334,493
373,boston,438,219,323,565,439,512
374,boston,216,427,166,156,228,237
375,boston,644,586,669,307,370,148
376,boston,565,219,555,17,396,652
377,boston,565,334,227,369,671,54
378,boston,390,391,182,537,221,607
379,boston,219,60,421,49,323,512
380,boston,453,343,16,13,612,613
381,boston,199,576,428,563,348,164
382,boston,573,489,75,590,562,369
383,boston,127,229,661,164,175,364
384,boston,563,428,223,348,437,661
385,boston,60,512,219,227,109,671
386,boston,148,38,534,232,369,401
387,boston,222,432,642,53,565,654
388,boston,502,595,245,38,626,148
389,boston,369,334,106,380,398,652
390,boston,134,642,17,64,221,9
391,boston,148,259,56,621,52,612
392,boston,643,337,496,205,588,212
393,boston,531,219,331,92,363,227
394,boston,55,101,570,338,326,165
395,boston,644,371,1,2,394,289
396,boston,498,221,17,483,471,537
397,boston,127,428,469,503,164,293
398,boston,265,667,584,439,167,432
399,boston,588,638,401,66,645,205
400,boston,227,219,133,60,369,590
401,boston,352,647,675,492,526,124
402,boston,460,550,410,70,38,277
403,boston,370,640,288,105,564,307
404,boston,221,498,623,607,219,483
405,boston,378,227,671,133,219,318
406,boston,174,302,584,553,332,534
407,boston,343,144,293,148,644,103
408,boston,496,652,288,643,333,133
409,boston,316,565,631,80,194,395
410,boston,103,163,83,13,525,379
411,boston,379,62,661,126,130,174
412,boston,288,337,660,345,612,330
413,boston,186,428,608,294,226,206
414,boston,612,534,476,52,369,496
415,boston,369,192,221,227,642,64
416,boston,29,197,323,60,56,259
417,boston,64,137,565,134,61,308
418,boston,133,565,334,134,78,397
419,boston,366,372,111,367,585,303
420,boston,455,6,257,558,499,600
421,boston,227,219,60,421,49,221
422,boston,565,661,62,379,121,43
423,boston,17,87,265,146,654,167
424,boston,659,576,90,223,620,199
425,boston,300,287,311,88,150,115
426,boston,380,5,106,398,117,252
427,boston,293,379,343,46,126,121
428,boston,90,405,669,603,659,586
429,boston,90,495,659,223,405,383
430,boston,437,226,356,175,309,661
431,boston,109,49,546,227,323,512
432,boston,234,252,573,28,113,75
433,boston,652,149,288,78,343,336
434,boston,54,521,227,378,512,334
435,boston,565,408,17,397,315,146
436,boston,186,245,502,612,294,213
437,boston,418,90,659,576,620,495
0,chicago,664,520,435,237,275,510
1,chicago,239,586,137,222,545,148
2,chicago,146,239,197,174,53,644
3,chicago,335,543,174,38,146,239
4,chicago,516,119,146,613,546,342
5,chicago,75,117,493,573,68,252
6,chicago,600,184,272,136,585,637
7,chicago,134,109,565,80,65,222
8,chicago,205,79,590,157,333,269
9,chicago,593,210,614,222,654,509
10,chicago,595,148,620,524,164,120
11,chicago,103,160,302,646,597,174
12,chicago,166,106,239,452,170,67
13,chicago,146,281,543,516,24,148
14,chicago,545,148,457,302,239,450
15,chicago,276,22,504,140,633,652
16,chicago,278,85,60,632,2,516
17,chicago,565,146,53,642,397,61
18,chicago,221,65,334,95,498,222
19,chicago,407,652,671,508,529,318
20,chicago,585,629,639,409,606,285
21,chicago,586,460,501,349,603,644
22,chicago,276,15,504,140,633,652
23,chicago,285,1,197,52,60,620
24,chicago,146,543,507,2,239,174
25,chicago,512,54,438,75,85,207
26,chicago,644,653,163,620,501,556
27,chicago,640,105,426,447,307,370
28,chicago,75,227,489,671,452,378
29,chicago,197,60,421,546,227,54
30,chicago,137,1,34,349,262,393
31,chicago,597,659,563,348,649,437
32,chicago,588,140,37,642,255,98
33,chicago,509,571,4,263,382,417
34,chicago,591,137,222,399,30,523
35,chicago,181,449,184,492,94,637
36,chicago,269,404,473,51,275,276
37,chicago,546,609,88,255,420,220
38,chicago,349,148,174,146,239,70
39,chicago,658,470,271,515,243,374
40,chicago,545,148,450,239,332,302
41,chicago,408,177,571,239,146,174
42,chicago,143,284,555,652,474,134
43,chicago,174,597,514,146,226,103
44,chicago,78,652,478,133,284,17
45,chicago,481,221,391,431,65,390
46,chicago,148,262,595,349,650,586
47,chicago,123,283,659,357,242,199
48,chicago,479,334,65,436,498,221
49,chicago,421,60,227,85,219,54
50,chicago,34,542,16,298,61,262
51,chicago,473,117,95,68,269,157
52,chicago,148,262,299,650,197,595
53,chicago,2,146,17,222,432,565
54,chicago,421,632,60,378,197,671
55,chicago,570,338,101,631,431,642
56,chicago,457,612,148,259,213,197
57,chicago,586,1,516,349,457,453
58,chicago,308,408,608,392,516,642
59,chicago,582,251,510,442,435,235
60,chicago,227,197,54,164,219,421
61,chicago,146,308,64,17,137,542
62,chicago,379,163,653,644,601,501
63,chicago,246,187,317,370,576,223
64,chicago,227,137,61,488,349,222
65,chicago,493,207,222,80,284,591
66,chicago,476,598,459,276,292,588
67,chicago,508,106,652,511,427,181
68,chicago,117,380,562,493,95,5
69,chicago,627,503,199,246,116,576
70,chicago,146,239,38,174,413,553
71,chicago,231,619,500,471,265,472
72,chicago,513,239,337,245,70,571
73,chicago,136,35,74,181,455,637
74,chicago,455,73,549,637,154,180
75,chicago,133,28,497,219,60,573
76,chicago,174,299,368,643,2,244
77,chicago,652,78,397,478,146,448
78,chicago,652,336,288,333,131,496
